Data,ipca,ipca-mas,ipca-ma,ipca-ex,ipca-ex2,ipca-dp,ipc-br-core
11/2002,"3,02","1,32","1,7","1,17","1,57","1,95","1,46"
12/2002,"2,1","1,36","1,48","1,66","1,65","1,75","1,39"
01/2003,"2,25","1,32","1,69","1,38","1,71","1,84","1,32"
02/2003,"1,57","0,93",1,"0,99","1,47","1,35","0,93"
03/2003,"1,23","1,23","0,97","1,13","1,22","1,2","1,07"
04/2003,"0,97","1,1","0,86","0,81","1,06","0,98","1,2"
05/2003,"0,61",1,"0,64","0,56","0,99","0,85","1,05"
06/2003,"-0,15","0,87","0,39","0,52","0,47","0,4","0,74"
07/2003,"0,2","0,65","0,4","0,37","0,75","0,47","0,53"
08/2003,"0,34","0,58","0,35","0,37","0,49","0,44","0,45"
09/2003,"0,78","0,86","0,6","0,37","0,67","0,71","0,67"
10/2003,"0,29","0,77","0,29","0,37","0,34","0,38","0,5"
11/2003,"0,34","0,56","0,31","0,38","0,45","0,47","0,36"
12/2003,"0,52","0,72","0,54","0,63","0,6","0,58","0,46"
01/2004,"0,76","0,73","0,63","0,64","0,7","0,7","0,65"
02/2004,"0,61","0,48","0,28",1,"0,77","0,62","0,46"
03/2004,"0,47","0,76","0,65","0,85","0,8","0,71","0,53"
04/2004,"0,37","0,57","0,45","0,72","0,59","0,52","0,53"
05/2004,"0,51","0,59","0,43","0,7","0,55","0,53","0,57"
06/2004,"0,71","0,6","0,48","0,53","0,49","0,6","0,5"
07/2004,"0,91","0,55","0,59","0,46","0,85","0,73","0,36"
08/2004,"0,69","0,55","0,53","0,56","0,52","0,61","0,42"
09/2004,"0,33","0,56","0,38","0,41","0,53","0,48","0,38"
10/2004,"0,44","0,6","0,55","0,55","0,51","0,55","0,43"
11/2004,"0,69","0,62","0,57","0,57","0,56","0,6","0,41"
12/2004,"0,86","0,67","0,66","0,67","0,62","0,79","0,48"
01/2005,"0,58","0,66","0,59","0,56","0,62","0,65","0,61"
02/2005,"0,59","0,6","0,43","0,93","0,8","0,65","0,36"
03/2005,"0,61","0,62","0,49","0,41","0,7","0,76","0,49"
04/2005,"0,87","0,7","0,7","0,71","0,92","0,79","0,65"
05/2005,"0,49","0,65","0,46","0,57","0,68","0,56","0,73"
06/2005,"-0,02","0,49","0,26","0,36","0,34","0,3","0,42"
07/2005,"0,25","0,45","0,31","0,37","0,47","0,36","0,3"
08/2005,"0,17","0,36","0,28","0,26","0,37","0,32","0,07"
09/2005,"0,35","0,51","0,34","0,3","0,3","0,39","0,29"
10/2005,"0,75","0,58","0,5","0,38","0,47","0,6","0,37"
